"=""0050""",元大台灣卓越50證券投資信託基金,,092/06/25
"=""00732""",國泰優勢收益傘型證券投資信託基金之富時人民幣短期報酬ETF 證券投資信託基金,國泰證券投資信託股份有限公司,107/05/04
"=""00733""",富邦臺灣中小A級動能50 ETF證券投資信託基金,富邦證券投資信託股份有限公司,107/05/04
"=""00735""",國泰趨勢ETF傘型證券投資信託基金之臺韓科技證券投資信託基金,國泰證券投資信託股份有限公司,107/05/29
"=""00736""",國泰趨勢ETF傘型證券投資信託基金之富時新興市場證券投資信託基金,國泰投信,107/05/29
"=""00737""",國泰趨勢ETF傘型證券投資信託基金之納斯達克全球人工智慧及機器人證券投資信託基金,國泰證券投資信託股份有限公司,107/05/29
"=""00738U""",元大道瓊白銀ER指數股票型期貨信託基金,,107/05/23
"=""00739""",元大MSCI中國A股國際通ETF證券投資信託基金,,107/06/19
"=""00742""",新光特選內需收益ETF證券投資信託基金,,107/06/12
"=""00743""",國泰新中國傘型證券投資信託基金之富時中國A150ETF證券投資信託基金,國泰證券投資信託股份有限公司,107/07/25
"=""00752""",中國信託中國外資自由投資50不含A及B股傘型ETF證券投資信託基金之中國信託MSCI中國外資自由50不含A及B股ETF證券投資信託基金,,107/10/24
"=""00753L""",中國信託中國外資自由投資50不含A及B股傘型ETF證券投資信託基金之中國信託MSCI中國外資自由投資50不含A及B股單日正向2倍ETF證券投資信託基金,,107/10/24
"=""00757""",統一NYSE FANG+ ETF證券投資信託基金,,107/11/27
"=""00762""",元大全球人工智慧ETF證券投資信託基金,,108/01/16
"=""00763U""",街口道瓊銅ER指數股票型期貨信託基金,,107/12/12
"=""00766L""",台新MSCI中國外資自由投資單日正向2倍ETF證券投資信託基金,NA,108/01/16
"=""00767""",復華多元資產傘型證券投資信託基金之復華美國金融服務業股票ETF證券投資信託基金,,108/01/15
"=""00770""",國泰標普北美科技ETF證券投資信託基金,國泰證券投資信託股份有限公司,108/01/22
"=""00771""",元大標普美國高息特別股ETF證券投資信託基金,,108/04/25
"=""00774B""",新光全方位收益ETF傘型證券投資信託基金之新光中國10年期國債及政策金融附加綠債債券ETF 證券投資信託基金,,108/01/25
"=""00774C""",新光全方位收益ETF傘型證券投資信託基金之新光中國10年期國債及政策金融附加綠債債券ETF證券投資信託基金-加掛人民幣ETF受益憑證-國外成份/加掛外幣證券指數股票型基金,,108/07/01
"=""00775B""",新光全方位收益ETF傘型證券投資信託基金之新光富時15年以上特選產業美元投資等級債券ETF證券投資信託基金,,108/01/25
"=""00776""",新光全方位收益ETF傘型證券投資信託基金之新光NYSE美國核心大型權值股ETF證券投資信託基金,,108/01/25
"=""00783""",富邦多元收益ⅡETF傘型證券投資信託基金之富邦中國中証中小500ETF證券投資信託基金,富邦證券投資信託股份有限公司,108/03/20
"=""0080""",恒生H股指數股票型基金,匯豐中華證券投資信託股份有限公司,092/11/19
"=""0081""",恒生指數股票型基金,匯豐中華證券投資信託股份有限公司,093/09/13
"=""008201""",標智上證50中國指數基金(本基金配息來源可能為本金),凱基證券投資信託股份有限公司,098/04/09
"=""00830""",國泰大三元ETF傘型證券投資信託基金之美國費城半導體證券投資信託基金,國泰證券投資信託股份有限公司,108/04/23
"=""00850""",元大臺灣ESG永續ETF證券投資信託基金,,108/08/15
"=""00851""",台新SG全球AI機器人精選ETF證券投資信託基金,,108/07/30
"=""00852L""",國泰道瓊工業平均指數單日正向2倍證券投資信託基金,國泰證券投資信託股份有限公司,108/08/15
"=""00861""",元大全球未來通訊ETF證券投資信託基金,,108/11/11
"=""00865B""",國泰美國收益傘型證券投資信託基金之美國短期公債ETF證券投資信託基金,國泰證券投資信託股份有限公司,108/11/15
"=""00866""",新光優質收益ETF傘型證券投資信託基金之新光Shiller Barclays CAPE&#174;美國產業價值投資ETF證券投資信託基金,,108/11/08
"=""00875""",國泰網路資安ETF證券投資信託基金,國泰證券投資信託股份有限公司,109/03/23
"=""00876""",元大全球5G關鍵科技ETF證券投資信託基金(原名:元大全球未來關鍵科技ETF證券投資信託基金),,109/06/22
"=""00878""",國泰台灣高股息傘型證券投資信託基金之台灣ESG永續高股息ETF證券投資信託基金,國泰證券投資信託股份有限公司,109/07/10
"=""00881""",國泰台灣5G PLUS ETF證券投資信託基金,國泰證券投資信託股份有限公司,109/12/01
"=""00882""",中國信託全球收益ETF傘型證券投資信託基金之中國信託恒生中國高股息ETF證券投資信託基金,,110/01/27
"=""00885""",富邦富時越南ETF證券投資信託基金,富邦證券投資信託股份有限公司,110/03/30
"=""00891""",中國信託臺灣ESG永續關鍵半導體ETF證券投資信託基金,,110/05/20
"=""00892""",富邦台灣核心半導體ETF證券投資信託基金,富邦證券投資信託股份有限公司,110/06/02
"=""00893""",國泰全球智能電動車ETF證券投資信託基金,國泰證券投資信託股份有限公司,110/06/21
"=""00894""",中國信託特選小資高價30ETF證券投資信託基金,,110/08/05
"=""00895""",富邦未來車ETF證券投資信託基金,富邦證券投資信託股份有限公司,110/08/02
"=""00896""",中國信託臺灣綠能及電動車ETF證券投資信託基金,,110/09/09
"=""00897""",富邦基因免疫生技ETF證券投資信託基金,富邦證券投資信託股份有限公司,110/09/24
"=""00898""",國泰全球基因免疫與醫療革命ETF證券投資信託基金,國泰證券投資信託股份有限公司,110/11/11
"=""00899""",富蘭克林華美全球潔淨能源ETF證券投資信託基金,,111/01/12
"=""00900""",富邦特選台灣高股息30 ETF證券投資信託基金,富邦證券投資信託股份有限公司,110/12/14
"=""00901""",永豐台灣智能車供應鏈ETF證券投資信託基金,,110/12/06
"=""00902""",中國信託電池及儲能科技ETF證券投資信託基金,,111/01/18
"=""00903""",富邦元宇宙ETF證券投資信託基金,富邦證券投資信託股份有限公司,111/01/14
"=""00904""",新光臺灣全市場半導體精選30ETF證券投資信託基金,,111/02/23
